response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect;size_download;iteration;fileName
200;3;44231;0;0.217922;0.107791;0.105482;0.218149;0.014861;9649;6;/public/script5.js
200;3;44729;0;0.214669;0.104375;0.102239;0.215717;0.010217;9649;6;/public/script6.js
200;3;18017;0;0.142027;0.099521;0.097455;0.148742;0.009115;2680;6;/public/script7.js
200;3;27114;0;0.171379;0.108620;0.106304;0.177910;0.008019;4824;6;/public/script8.js
200;3;54928;0;0.174756;0.107558;0.105293;0.175647;0.004923;9648;6;/public/script9.js
200;3;50940;0;0.150309;0.101836;0.099439;0.157830;0.006769;8040;6;/public/script10.js
200;3;13669;0;0.144923;0.101831;0.099476;0.156840;0.006387;2144;6;/public/script11.js
200;3;28944;0;0.221031;0.102915;0.100471;0.222218;0.008290;6432;6;/public/script12.js
200;3;17756;0;0.177912;0.100926;0.098684;0.181120;0.006807;3216;6;/public/script13.js
200;3;21251;0;0.252049;0.113854;0.111857;0.252220;0.006212;5360;6;/public/script14.js
200;3;19774;0;0.181406;0.098715;0.096478;0.189735;0.007073;3752;6;/public/script15.js
200;3;22808;0;0.187105;0.099067;0.096832;0.187251;0.005835;4271;6;/public/style1.css
200;3;2525;0;0.170210;0.094322;0.092100;0.170268;0.004736;430;6;/public/style2.css
200;3;10726;0;0.194430;0.107482;0.105454;0.199408;0.004169;2139;6;/public/style3.css
200;3;10111;0;0.263112;0.110167;0.108212;0.264260;0.004122;2672;6;/public/style4.css
200;3;19049;0;0.195369;0.106709;0.104790;0.196225;0.003797;3738;6;/public/style5.css
200;3;4869;0;0.220319;0.115158;0.112969;0.220365;0.003769;1073;6;/public/style6.css
200;3;111868;0;0.174344;0.091452;0.083835;0.175859;0.008705;19673;7;/public/
200;3;1556;0;0.300599;0.120304;0.118313;0.300682;0.015661;468;7;/public/script1.js
200;3;147071;0;0.316179;0.124995;0.122986;0.524805;0.019303;77184;7;/public/script2.js
200;3;79452;0;0.318240;0.125360;0.123388;0.323815;0.018375;25728;7;/public/script3.js
200;3;40818;0;0.200263;0.118595;0.116597;0.210099;0.015106;8576;7;/public/script4.js
200;3;31162;0;0.303021;0.115307;0.112984;0.309636;0.012937;9649;7;/public/script5.js
200;3;61673;0;0.151334;0.110946;0.108977;0.156452;0.010880;9649;7;/public/script6.js
200;3;8364;0;0.319179;0.114876;0.112906;0.320394;0.007524;2680;7;/public/script7.js
200;3;15468;0;0.311740;0.107419;0.105459;0.311858;0.005862;4824;7;/public/script8.js
200;3;61283;0;0.152004;0.081735;0.079613;0.157431;0.006894;9648;7;/public/script9.js
200;3;24958;0;0.312583;0.106168;0.104111;0.322133;0.010564;8040;7;/public/script10.js
200;3;6891;0;0.311050;0.103016;0.101043;0.311112;0.008415;2144;7;/public/script11.js
200;3;19358;0;0.332176;0.094978;0.092899;0.332252;0.005362;6432;7;/public/script12.js
200;3;10128;0;0.317318;0.103330;0.101374;0.317519;0.005737;3216;7;/public/script13.js
200;3;18063;0;0.296618;0.095374;0.093404;0.296734;0.005484;5360;7;/public/script14.js
200;3;19715;0;0.190261;0.099886;0.097912;0.190309;0.005838;3752;7;/public/script15.js
200;3;13502;0;0.315806;0.103650;0.101691;0.316307;0.006415;4271;7;/public/style1.css
200;3;3101;0;0.138633;0.102623;0.100666;0.138664;0.004402;430;7;/public/style2.css
200;3;6859;0;0.311796;0.101586;0.099467;0.311845;0.005028;2139;7;/public/style3.css
200;3;8424;0;0.317120;0.119372;0.116933;0.317179;0.005544;2672;7;/public/style4.css
200;3;8847;0;0.421497;0.255813;0.249592;0.422500;0.004332;3738;7;/public/style5.css
200;3;2705;0;0.396433;0.272327;0.266455;0.396559;0.003255;1073;7;/public/style6.css
200;3;110604;0;0.175787;0.094430;0.086657;0.177868;0.008857;19673;8;/public/
200;3;2440;0;0.191716;0.132380;0.129307;0.191771;0.018378;468;8;/public/script1.js
200;3;333055;0;0.171544;0.134185;0.130876;0.231745;0.019097;77184;8;/public/script2.js
200;3;105617;0;0.235818;0.135611;0.132696;0.243595;0.020191;25728;8;/public/script3.js
200;3;39896;0;0.204637;0.131745;0.127868;0.214956;0.014653;8576;8;/public/script4.js
200;3;49364;0;0.194124;0.127978;0.124705;0.195463;0.015375;9649;8;/public/script5.js
200;3;51265;0;0.188170;0.125308;0.122265;0.188215;0.010052;9649;8;/public/script6.js
200;3;11256;0;0.235046;0.120438;0.117250;0.238088;0.005319;2680;8;/public/script7.js
200;3;23862;0;0.202084;0.118603;0.115443;0.202162;0.005509;4824;8;/public/script8.js
200;3;60991;0;0.155570;0.111451;0.108601;0.158187;0.005925;9648;8;/public/script9.js
200;3;35206;0;0.222303;0.113282;0.110580;0.228370;0.007176;8040;8;/public/script10.js
200;3;9200;0;0.232980;0.115189;0.112584;0.233041;0.008158;2144;8;/public/script11.js
200;3;35955;0;0.174324;0.115323;0.112991;0.178888;0.005990;6432;8;/public/script12.js
200;3;13012;0;0.246338;0.111237;0.105689;0.247154;0.007395;3216;8;/public/script13.js
200;3;22659;0;0.233150;0.110405;0.107528;0.236546;0.005987;5360;8;/public/script14.js
200;3;16328;0;0.228541;0.105293;0.102623;0.229777;0.005462;3752;8;/public/script15.js
200;3;17879;0;0.238825;0.105865;0.103210;0.238882;0.004024;4271;8;/public/style1.css
200;3;2858;0;0.150396;0.106081;0.103506;0.150439;0.003662;430;8;/public/style2.css
200;3;9366;0;0.228274;0.099130;0.096428;0.228359;0.004439;2139;8;/public/style3.css
200;3;10682;0;0.250021;0.103658;0.100983;0.250118;0.005009;2672;8;/public/style4.css
200;3;14849;0;0.249511;0.138258;0.134907;0.251722;0.004518;3738;8;/public/style5.css
200;3;4391;0;0.244240;0.100220;0.096952;0.244317;0.003303;1073;8;/public/style6.css
200;3;86365;0;0.222425;0.186543;0.178778;0.227787;0.006863;19673;9;/public/
200;3;2898;0;0.161414;0.120443;0.118034;0.161467;0.017649;468;9;/public/script1.js
200;3;343534;0;0.169000;0.130211;0.127498;0.224676;0.021565;77184;9;/public/script2.js
200;3;136795;0;0.181973;0.126080;0.123527;0.188076;0.017997;25728;9;/public/script3.js
200;3;44681;0;0.184846;0.123118;0.120421;0.191937;0.020607;8576;9;/public/script4.js
200;3;45917;0;0.208271;0.117864;0.115258;0.210140;0.011106;9649;9;/public/script5.js
200;3;40558;0;0.231803;0.116899;0.114596;0.237903;0.009422;9649;9;/public/script6.js
200;3;15969;0;0.167783;0.113760;0.111087;0.167820;0.006423;2680;9;/public/script7.js
200;3;31887;0;0.148284;0.103502;0.100989;0.151283;0.008619;4824;9;/public/script8.js
200;3;52337;0;0.182907;0.108743;0.105728;0.184343;0.008091;9648;9;/public/script9.js
200;3;39476;0;0.178753;0.101500;0.098811;0.203668;0.005119;8040;9;/public/script10.js
200;3;9888;0;0.215195;0.106130;0.103754;0.216808;0.011543;2144;9;/public/script11.js
200;3;30998;0;0.206512;0.100763;0.097829;0.207496;0.005069;6432;9;/public/script12.js
200;3;14551;0;0.219333;0.106228;0.103874;0.221002;0.007311;3216;9;/public/script13.js
200;3;23901;0;0.220618;0.100818;0.098257;0.224253;0.005163;5360;9;/public/script14.js
200;3;23497;0;0.159645;0.095321;0.092970;0.159674;0.008305;3752;9;/public/script15.js
200;3;36564;0;0.116770;0.079389;0.076961;0.116807;0.004787;4271;9;/public/style1.css
200;3;2018;0;0.213031;0.108342;0.106035;0.213061;0.006295;430;9;/public/style2.css
200;3;9730;0;0.219435;0.106219;0.103879;0.219813;0.005278;2139;9;/public/style3.css
200;3;11805;0;0.220682;0.104968;0.102848;0.226326;0.004593;2672;9;/public/style4.css
200;3;16427;0;0.224383;0.108589;0.106595;0.227549;0.003456;3738;9;/public/style5.css
200;3;4796;0;0.223658;0.105397;0.103111;0.223690;0.003117;1073;9;/public/style6.css
200;3;72052;0;0.271171;0.195511;0.186944;0.273036;0.005457;19673;10;/public/
200;3;2229;0;0.209863;0.108842;0.106490;0.209904;0.013683;468;10;/public/script1.js
200;3;152031;0;0.168335;0.111309;0.108979;0.507683;0.017969;77184;10;/public/script2.js
200;3;122377;0;0.209201;0.107441;0.105080;0.210235;0.013753;25728;10;/public/script3.js
200;3;39100;0;0.217750;0.110451;0.108305;0.219332;0.017126;8576;10;/public/script4.js
200;3;43700;0;0.220726;0.107072;0.105097;0.220799;0.012505;9649;10;/public/script5.js
200;3;60059;0;0.156618;0.093972;0.091988;0.160657;0.005376;9649;10;/public/script6.js
200;3;12952;0;0.206868;0.097883;0.095885;0.206906;0.006230;2680;10;/public/script7.js
200;3;28154;0;0.167413;0.100497;0.098499;0.171342;0.009553;4824;10;/public/script8.js
200;3;58260;0;0.159025;0.096682;0.094605;0.165600;0.007646;9648;10;/public/script9.js
200;3;33593;0;0.239291;0.102259;0.100168;0.239333;0.009018;8040;10;/public/script10.js
200;3;7800;0;0.274777;0.103725;0.101681;0.274840;0.009704;2144;10;/public/script11.js
200;3;37912;0;0.163863;0.095046;0.092995;0.169652;0.005760;6432;10;/public/script12.js
200;3;11821;0;0.272002;0.100929;0.098843;0.272048;0.011383;3216;10;/public/script13.js
200;3;23115;0;0.231834;0.094712;0.092663;0.231876;0.005147;5360;10;/public/script14.js
200;3;16989;0;0.220804;0.103301;0.101180;0.220846;0.004247;3752;10;/public/script15.js
200;3;18516;0;0.227684;0.114208;0.112166;0.230662;0.011550;4271;10;/public/style1.css
200;3;1643;0;0.261501;0.102871;0.100846;0.261567;0.006616;430;10;/public/style2.css
200;3;13440;0;0.157975;0.108960;0.106868;0.159147;0.005130;2139;10;/public/style3.css
200;3;12223;0;0.218545;0.105288;0.102987;0.218599;0.004376;2672;10;/public/style4.css
200;3;9597;0;0.336452;0.120198;0.117769;0.389494;0.003359;3738;10;/public/style5.css
200;3;6810;0;0.157497;0.107605;0.105498;0.157551;0.004589;1073;10;/public/style6.css
200;3;121342;0;0.157838;0.084382;0.076347;0.162128;0.009738;19673;11;/public/
200;3;2958;0;0.158140;0.117178;0.114158;0.158189;0.014657;468;11;/public/script1.js
200;3;206800;0;0.218867;0.119067;0.116255;0.373230;0.017039;77184;11;/public/script2.js
200;3;125510;0;0.197555;0.120700;0.117922;0.204987;0.015791;25728;11;/public/script3.js
200;3;40774;0;0.210270;0.112022;0.109259;0.210326;0.012627;8576;11;/public/script4.js
200;3;44818;0;0.215242;0.114585;0.111523;0.215292;0.013537;9649;11;/public/script5.js
200;3;39641;0;0.241469;0.111965;0.109372;0.243404;0.007431;9649;11;/public/script6.js
200;3;16312;0;0.164252;0.108427;0.105592;0.164291;0.005510;2680;11;/public/script7.js
200;3;20016;0;0.240950;0.105432;0.102671;0.240996;0.008327;4824;11;/public/script8.js
200;3;62889;0;0.146254;0.104935;0.102038;0.153413;0.008154;9648;11;/public/script9.js
200;3;51252;0;0.151986;0.108476;0.106156;0.156869;0.006170;8040;11;/public/script10.js
200;3;9068;0;0.236365;0.107139;0.104753;0.236425;0.009103;2144;11;/public/script11.js
200;3;26723;0;0.236116;0.109364;0.106693;0.240691;0.007171;6432;11;/public/script12.js
200;3;13233;0;0.242968;0.106625;0.103569;0.243023;0.006085;3216;11;/public/script13.js
200;3;34347;0;0.149595;0.105721;0.103022;0.156052;0.005932;5360;11;/public/script14.js
200;3;15855;0;0.235160;0.105451;0.102765;0.236640;0.005628;3752;11;/public/script15.js
